RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680128544380	Test APM Grafana LoKi	3.3.1
USER	Get Data Scenario	1	START	1680128545913	1680128545913
USER	Get Data Scenario	2	START	1680128546414	1680128546414
REQUEST	1		Get Data	1680128545945	1680128546391	OK	 
REQUEST	2		Get Data	1680128546415	1680128546700	OK	 
USER	Get Data Scenario	3	START	1680128546914	1680128546914
REQUEST	3		Get Data	1680128546915	1680128547200	OK	 
USER	Get Data Scenario	4	START	1680128547422	1680128547422
REQUEST	1		Get Data	1680128547423	1680128547629	OK	 
REQUEST	4		Get Data	1680128547423	1680128547661	OK	 
REQUEST	2		Get Data	1680128547716	1680128547830	OK	 
USER	Get Data Scenario	5	START	1680128547915	1680128547915
REQUEST	5		Get Data	1680128547917	1680128548184	OK	 
REQUEST	3		Get Data	1680128548215	1680128548353	OK	 
USER	Get Data Scenario	6	START	1680128548413	1680128548413
REQUEST	6		Get Data	1680128548414	1680128548692	OK	 
REQUEST	1		Get Data	1680128548615	1680128548749	OK	 
REQUEST	4		Get Data	1680128548676	1680128548826	OK	 
USER	Get Data Scenario	7	START	1680128548909	1680128548909
REQUEST	2		Get Data	1680128548834	1680128548956	OK	 
REQUEST	7		Get Data	1680128548911	1680128549163	OK	 
REQUEST	5		Get Data	1680128549205	1680128549327	OK	 
USER	Get Data Scenario	8	START	1680128549404	1680128549404
REQUEST	3		Get Data	1680128549375	1680128549515	OK	 
REQUEST	8		Get Data	1680128549405	1680128549635	OK	 
REQUEST	6		Get Data	1680128549715	1680128549853	OK	 
REQUEST	1		Get Data	1680128549746	1680128549862	OK	 
USER	Get Data Scenario	9	START	1680128549904	1680128549904
REQUEST	4		Get Data	1680128549825	1680128549978	OK	 
REQUEST	2		Get Data	1680128549964	1680128550150	OK	 
REQUEST	9		Get Data	1680128549906	1680128550181	OK	 
REQUEST	7		Get Data	1680128550175	1680128550329	OK	 
USER	Get Data Scenario	10	START	1680128550425	1680128550425
REQUEST	5		Get Data	1680128550332	1680128550478	OK	 
REQUEST	3		Get Data	1680128550512	1680128550666	OK	 
REQUEST	10		Get Data	1680128550426	1680128550706	OK	 
USER	Get Data Scenario	11	START	1680128550932	1680128550932
REQUEST	8		Get Data	1680128550652	1680128550933	OK	 
REQUEST	6		Get Data	1680128550855	1680128551009	OK	 
REQUEST	1		Get Data	1680128550869	1680128551010	OK	 
REQUEST	4		Get Data	1680128550994	1680128551126	OK	 
REQUEST	11		Get Data	1680128550933	1680128551199	OK	 
REQUEST	9		Get Data	1680128551195	1680128551320	OK	 
REQUEST	2		Get Data	1680128551149	1680128551333	OK	 
USER	Get Data Scenario	12	START	1680128551411	1680128551411
REQUEST	7		Get Data	1680128551335	1680128551555	OK	 
REQUEST	12		Get Data	1680128551412	1680128551656	OK	 
REQUEST	5		Get Data	1680128551475	1680128551706	OK	 
REQUEST	3		Get Data	1680128551664	1680128551843	OK	 
REQUEST	10		Get Data	1680128551726	1680128551854	OK	 
USER	Get Data Scenario	13	START	1680128551910	1680128551910
REQUEST	8		Get Data	1680128551945	1680128552090	OK	 
REQUEST	13		Get Data	1680128551912	1680128552183	OK	 
REQUEST	6		Get Data	1680128552004	1680128552226	OK	 
REQUEST	1		Get Data	1680128552005	1680128552245	OK	 
REQUEST	11		Get Data	1680128552223	1680128552402	OK	 
USER	Get Data Scenario	14	START	1680128552406	1680128552406
REQUEST	4		Get Data	1680128552115	1680128552483	OK	 
REQUEST	9		Get Data	1680128552329	1680128552498	OK	 
REQUEST	2		Get Data	1680128552345	1680128552550	OK	 
REQUEST	14		Get Data	1680128552407	1680128552680	OK	 
REQUEST	7		Get Data	1680128552565	1680128552738	OK	 
REQUEST	12		Get Data	1680128552668	1680128552846	OK	 
REQUEST	5		Get Data	1680128552698	1680128552889	OK	 
USER	Get Data Scenario	15	START	1680128552914	1680128552914
REQUEST	3		Get Data	1680128552838	1680128552994	OK	 
REQUEST	10		Get Data	1680128552855	1680128553008	OK	 
REQUEST	15		Get Data	1680128552916	1680128553158	OK	 
REQUEST	8		Get Data	1680128553086	1680128553218	OK	 
REQUEST	13		Get Data	1680128553195	1680128553339	OK	 
USER	Get Data Scenario	16	START	1680128553426	1680128553426
REQUEST	6		Get Data	1680128553241	1680128553458	OK	 
REQUEST	1		Get Data	1680128553244	1680128553493	OK	 
REQUEST	11		Get Data	1680128553395	1680128553561	OK	 
REQUEST	9		Get Data	1680128553505	1680128553650	OK	 
REQUEST	4		Get Data	1680128553504	1680128553650	OK	 
REQUEST	2		Get Data	1680128553536	1680128553657	OK	 
REQUEST	16		Get Data	1680128553427	1680128553706	OK	 
REQUEST	14		Get Data	1680128553690	1680128553832	OK	 
REQUEST	7		Get Data	1680128553724	1680128553860	OK	 
USER	Get Data Scenario	17	START	1680128553924	1680128553924
REQUEST	12		Get Data	1680128553845	1680128554017	OK	 
REQUEST	5		Get Data	1680128553894	1680128554062	OK	 
REQUEST	3		Get Data	1680128554001	1680128554150	OK	 
REQUEST	10		Get Data	1680128554016	1680128554162	OK	 
REQUEST	17		Get Data	1680128553925	1680128554192	OK	 
REQUEST	8		Get Data	1680128554217	1680128554413	OK	 
USER	Get Data Scenario	18	START	1680128554434	1680128554434
REQUEST	15		Get Data	1680128554170	1680128554502	OK	 
REQUEST	13		Get Data	1680128554344	1680128554546	OK	 
REQUEST	6		Get Data	1680128554451	1680128554587	OK	 
