RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680132542886	Test APM Grafana Loki	3.3.1
USER	Get Data Scenario	1	START	1680132544453	1680132544453
REQUEST	1		Get Data	1680132544479	1680132544824	OK	 
USER	Get Data Scenario	2	START	1680132544977	1680132544977
USER	Get Data Scenario	3	START	1680132545477	1680132545477
REQUEST	3		Get Data	1680132545479	1680132545712	OK	 
USER	Get Data Scenario	4	START	1680132545978	1680132545978
REQUEST	1		Get Data	1680132545855	1680132546248	OK	 
REQUEST	2		Get Data	1680132544978	1680132546460	OK	 
USER	Get Data Scenario	5	START	1680132546475	1680132546475
REQUEST	5		Get Data	1680132546477	1680132546708	OK	 
REQUEST	3		Get Data	1680132546738	1680132546852	OK	 
USER	Get Data Scenario	6	START	1680132546968	1680132546968
REQUEST	6		Get Data	1680132546970	1680132547219	OK	 
REQUEST	1		Get Data	1680132547234	1680132547352	OK	 
USER	Get Data Scenario	7	START	1680132547466	1680132547466
REQUEST	7		Get Data	1680132547467	1680132547698	OK	 
REQUEST	5		Get Data	1680132547734	1680132547843	OK	 
REQUEST	3		Get Data	1680132547843	1680132547950	OK	 
USER	Get Data Scenario	8	START	1680132547964	1680132547964
REQUEST	2		Get Data	1680132547482	1680132548092	OK	 
REQUEST	8		Get Data	1680132547966	1680132548195	OK	 
REQUEST	6		Get Data	1680132548230	1680132548337	OK	 
REQUEST	4		Get Data	1680132545979	1680132548365	OK	 
USER	Get Data Scenario	9	START	1680132548462	1680132548462
REQUEST	9		Get Data	1680132548463	1680132548698	OK	 
USER	Get Data Scenario	10	START	1680132548971	1680132548971
REQUEST	1		Get Data	1680132548353	1680132549117	OK	 
REQUEST	10		Get Data	1680132548972	1680132549195	OK	 
REQUEST	7		Get Data	1680132548710	1680132549230	OK	 
REQUEST	5		Get Data	1680132548848	1680132549269	OK	 
REQUEST	8		Get Data	1680132549223	1680132549331	OK	 
USER	Get Data Scenario	11	START	1680132549467	1680132549467
REQUEST	6		Get Data	1680132549360	1680132549470	OK	 
REQUEST	2		Get Data	1680132549096	1680132549478	OK	 
REQUEST	4		Get Data	1680132549375	1680132549489	OK	 
REQUEST	3		Get Data	1680132548972	1680132549542	OK	 
REQUEST	11		Get Data	1680132549468	1680132549698	OK	 
REQUEST	9		Get Data	1680132549717	1680132549828	OK	 
USER	Get Data Scenario	12	START	1680132549952	1680132549952
REQUEST	1		Get Data	1680132550123	1680132550232	OK	 
REQUEST	5		Get Data	1680132550277	1680132550391	OK	 
USER	Get Data Scenario	13	START	1680132550462	1680132550462
REQUEST	4		Get Data	1680132550510	1680132550618	OK	 
REQUEST	13		Get Data	1680132550464	1680132550692	OK	 
REQUEST	11		Get Data	1680132550712	1680132550839	OK	 
REQUEST	10		Get Data	1680132550215	1680132550916	OK	 
REQUEST	12		Get Data	1680132549953	1680132550948	OK	 
USER	Get Data Scenario	14	START	1680132550962	1680132550962
REQUEST	7		Get Data	1680132550234	1680132550984	OK	 
REQUEST	8		Get Data	1680132550339	1680132551193	OK	 
REQUEST	14		Get Data	1680132550963	1680132551197	OK	 
REQUEST	1		Get Data	1680132551243	1680132551349	OK	 
REQUEST	6		Get Data	1680132550448	1680132551407	OK	 
REQUEST	3		Get Data	1680132550526	1680132551439	OK	 
USER	Get Data Scenario	15	START	1680132551469	1680132551469
REQUEST	5		Get Data	1680132551378	1680132551482	OK	 
REQUEST	9		Get Data	1680132550836	1680132551535	OK	 
REQUEST	15		Get Data	1680132551470	1680132551694	OK	 
REQUEST	2		Get Data	1680132550479	1680132551697	OK	 
REQUEST	4		Get Data	1680132551593	1680132551699	OK	 
REQUEST	11		Get Data	1680132551843	1680132551947	OK	 
USER	Get Data Scenario	16	START	1680132551952	1680132551952
REQUEST	10		Get Data	1680132551920	1680132552024	OK	 
REQUEST	12		Get Data	1680132551965	1680132552072	OK	 
REQUEST	14		Get Data	1680132552213	1680132552317	OK	 
USER	Get Data Scenario	17	START	1680132552461	1680132552461
REQUEST	1		Get Data	1680132552353	1680132552461	OK	 
REQUEST	6		Get Data	1680132552414	1680132552522	OK	 
REQUEST	3		Get Data	1680132552432	1680132552541	OK	 
REQUEST	5		Get Data	1680132552478	1680132552584	OK	 
REQUEST	9		Get Data	1680132552539	1680132552644	OK	 
REQUEST	17		Get Data	1680132552463	1680132552689	OK	 
REQUEST	7		Get Data	1680132551983	1680132552719	OK	 
REQUEST	8		Get Data	1680132552182	1680132552767	OK	 
REQUEST	2		Get Data	1680132552693	1680132552800	OK	 
REQUEST	16		Get Data	1680132551953	1680132552890	OK	 
USER	Get Data Scenario	18	START	1680132552969	1680132552969
REQUEST	11		Get Data	1680132552943	1680132553047	OK	 
REQUEST	13		Get Data	1680132551707	1680132553071	OK	 
REQUEST	12		Get Data	1680132553082	1680132553192	OK	 
REQUEST	4		Get Data	1680132552708	1680132553197	OK	 
REQUEST	15		Get Data	1680132552709	1680132553255	OK	 
REQUEST	14		Get Data	1680132553313	1680132553423	OK	 
REQUEST	18		Get Data	1680132552970	1680132553431	OK	 
USER	Get Data Scenario	19	START	1680132553462	1680132553462
REQUEST	10		Get Data	1680132553032	1680132553463	OK	 
REQUEST	1		Get Data	1680132553463	1680132553654	OK	 
REQUEST	3		Get Data	1680132553555	1680132553662	OK	 
REQUEST	19		Get Data	1680132553464	1680132553681	OK	 
REQUEST	6		Get Data	1680132553540	1680132553695	OK	 
REQUEST	5		Get Data	1680132553602	1680132553722	OK	 
REQUEST	17		Get Data	1680132553711	1680132553822	OK	 
REQUEST	7		Get Data	1680132553740	1680132553846	OK	 
REQUEST	8		Get Data	1680132553756	1680132553862	OK	 
REQUEST	9		Get Data	1680132553633	1680132553886	OK	 
REQUEST	2		Get Data	1680132553788	1680132553914	OK	 
USER	Get Data Scenario	20	START	1680132553972	1680132553972
REQUEST	16		Get Data	1680132553911	1680132554018	OK	 
REQUEST	13		Get Data	1680132554080	1680132554189	OK	 
REQUEST	12		Get Data	1680132554187	1680132554292	OK	 
REQUEST	20		Get Data	1680132553973	1680132554408	OK	 
REQUEST	11		Get Data	1680132554048	1680132554511	OK	 
REQUEST	15		Get Data	1680132554265	1680132554521	OK	 
REQUEST	14		Get Data	1680132554422	1680132554530	OK	 
REQUEST	18		Get Data	1680132554453	1680132554562	OK	 
REQUEST	10		Get Data	1680132554467	1680132554576	OK	 
REQUEST	4		Get Data	1680132554203	1680132554701	OK	 
REQUEST	3		Get Data	1680132554654	1680132554770	OK	 
REQUEST	19		Get Data	1680132554686	1680132554803	OK	 
REQUEST	6		Get Data	1680132554686	1680132554810	OK	 
REQUEST	1		Get Data	1680132554643	1680132554811	OK	 
REQUEST	5		Get Data	1680132554702	1680132554814	OK	 
REQUEST	7		Get Data	1680132554825	1680132554939	OK	 
REQUEST	8		Get Data	1680132554870	1680132554996	OK	 
REQUEST	9		Get Data	1680132554900	1680132555023	OK	 
REQUEST	2		Get Data	1680132554932	1680132555040	OK	 
REQUEST	17		Get Data	1680132554824	1680132555050	OK	 
REQUEST	12		Get Data	1680132555288	1680132555396	OK	 
REQUEST	15		Get Data	1680132555523	1680132555630	OK	 
REQUEST	11		Get Data	1680132555522	1680132555631	OK	 
REQUEST	18		Get Data	1680132555570	1680132555686	OK	 
REQUEST	3		Get Data	1680132555773	1680132555883	OK	 
REQUEST	1		Get Data	1680132555833	1680132555946	OK	 
REQUEST	5		Get Data	1680132555832	1680132555949	OK	 
REQUEST	16		Get Data	1680132555010	1680132556064	OK	 
REQUEST	14		Get Data	1680132555523	1680132556065	OK	 
REQUEST	7		Get Data	1680132555956	1680132556066	OK	 
REQUEST	20		Get Data	1680132555429	1680132556067	OK	 
REQUEST	19		Get Data	1680132555816	1680132556079	OK	 
REQUEST	10		Get Data	1680132555569	1680132556079	OK	 
REQUEST	4		Get Data	1680132555708	1680132556082	OK	 
REQUEST	6		Get Data	1680132555800	1680132556083	OK	 
REQUEST	8		Get Data	1680132556003	1680132556113	OK	 
REQUEST	9		Get Data	1680132556017	1680132556130	OK	 
REQUEST	2		Get Data	1680132556033	1680132556138	OK	 
REQUEST	17		Get Data	1680132556049	1680132556170	OK	 
REQUEST	12		Get Data	1680132556418	1680132556527	OK	 
REQUEST	15		Get Data	1680132556621	1680132556727	OK	 
REQUEST	18		Get Data	1680132556700	1680132556814	OK	 
REQUEST	11		Get Data	1680132556621	1680132557009	OK	 
REQUEST	3		Get Data	1680132556902	1680132557018	OK	 
REQUEST	5		Get Data	1680132556949	1680132557059	OK	 
REQUEST	16		Get Data	1680132557075	1680132557182	OK	 
REQUEST	19		Get Data	1680132557074	1680132557187	OK	 
REQUEST	10		Get Data	1680132557073	1680132557187	OK	 
REQUEST	4		Get Data	1680132557088	1680132557200	OK	 
REQUEST	14		Get Data	1680132557088	1680132557204	OK	 
REQUEST	7		Get Data	1680132557073	1680132557206	OK	 
REQUEST	6		Get Data	1680132557092	1680132557209	OK	 
REQUEST	9		Get Data	1680132557122	1680132557230	OK	 
REQUEST	2		Get Data	1680132557134	1680132557241	OK	 
REQUEST	17		Get Data	1680132557152	1680132557262	OK	 
REQUEST	1		Get Data	1680132556933	1680132557323	OK	 
REQUEST	13		Get Data	1680132555194	1680132557354	OK	 
REQUEST	20		Get Data	1680132557074	1680132557552	OK	 
REQUEST	12		Get Data	1680132557520	1680132557656	OK	 
