RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1682537122570	Testing	3.3.1
USER	Get Data Scenario	1	START	1682537124129	1682537124129
REQUEST	1		Get Data	1682537124169	1682537124499	OK	 
USER	Get Data Scenario	2	START	1682537124634	1682537124634
REQUEST	2		Get Data	1682537124634	1682537124949	OK	 
USER	Get Data Scenario	3	START	1682537125131	1682537125131
REQUEST	3		Get Data	1682537125132	1682537125427	OK	 
USER	Get Data Scenario	4	START	1682537125639	1682537125639
REQUEST	1		Get Data	1682537125533	1682537125686	OK	 
REQUEST	4		Get Data	1682537125641	1682537125878	OK	 
REQUEST	2		Get Data	1682537125966	1682537126107	OK	 
USER	Get Data Scenario	5	START	1682537126137	1682537126137
REQUEST	5		Get Data	1682537126139	1682537126382	OK	 
REQUEST	3		Get Data	1682537126450	1682537126585	OK	 
USER	Get Data Scenario	6	START	1682537126641	1682537126641
REQUEST	1		Get Data	1682537126672	1682537126793	OK	 
REQUEST	6		Get Data	1682537126642	1682537126858	OK	 
REQUEST	4		Get Data	1682537126892	1682537127020	OK	 
USER	Get Data Scenario	7	START	1682537127150	1682537127150
REQUEST	2		Get Data	1682537127104	1682537127217	OK	 
REQUEST	7		Get Data	1682537127151	1682537127382	OK	 
REQUEST	5		Get Data	1682537127400	1682537127510	OK	 
USER	Get Data Scenario	8	START	1682537127621	1682537127621
REQUEST	3		Get Data	1682537127572	1682537127697	OK	 
REQUEST	8		Get Data	1682537127623	1682537127837	OK	 
REQUEST	1		Get Data	1682537127804	1682537127931	OK	 
REQUEST	6		Get Data	1682537127882	1682537127998	OK	 
USER	Get Data Scenario	9	START	1682537128129	1682537128129
REQUEST	4		Get Data	1682537128022	1682537128139	OK	 
REQUEST	2		Get Data	1682537128222	1682537128343	OK	 
REQUEST	9		Get Data	1682537128130	1682537128526	OK	 
REQUEST	7		Get Data	1682537128395	1682537128531	OK	 
USER	Get Data Scenario	10	START	1682537128629	1682537128629
REQUEST	5		Get Data	1682537128522	1682537128636	OK	 
REQUEST	3		Get Data	1682537128712	1682537128873	OK	 
REQUEST	10		Get Data	1682537128630	1682537128894	OK	 
REQUEST	8		Get Data	1682537128852	1682537128995	OK	 
REQUEST	1		Get Data	1682537128941	1682537129091	OK	 
REQUEST	6		Get Data	1682537128992	1682537129102	OK	 
USER	Get Data Scenario	11	START	1682537129125	1682537129125
REQUEST	4		Get Data	1682537129142	1682537129271	OK	 
REQUEST	11		Get Data	1682537129127	1682537129347	OK	 
REQUEST	2		Get Data	1682537129344	1682537129520	OK	 
USER	Get Data Scenario	12	START	1682537129641	1682537129641
REQUEST	9		Get Data	1682537129547	1682537129659	OK	 
REQUEST	7		Get Data	1682537129532	1682537129661	OK	 
REQUEST	5		Get Data	1682537129640	1682537129764	OK	 
REQUEST	12		Get Data	1682537129642	1682537129872	OK	 
REQUEST	3		Get Data	1682537129871	1682537129982	OK	 
REQUEST	10		Get Data	1682537129918	1682537130033	OK	 
REQUEST	8		Get Data	1682537130012	1682537130122	OK	 
USER	Get Data Scenario	13	START	1682537130150	1682537130150
REQUEST	1		Get Data	1682537130074	1682537130187	OK	 
REQUEST	6		Get Data	1682537130104	1682537130232	OK	 
REQUEST	13		Get Data	1682537130151	1682537130399	OK	 
REQUEST	4		Get Data	1682537130288	1682537130409	OK	 
REQUEST	11		Get Data	1682537130366	1682537130476	OK	 
USER	Get Data Scenario	14	START	1682537130646	1682537130646
REQUEST	2		Get Data	1682537130536	1682537130653	OK	 
REQUEST	9		Get Data	1682537130652	1682537130769	OK	 
REQUEST	7		Get Data	1682537130662	1682537130770	OK	 
REQUEST	14		Get Data	1682537130647	1682537130870	OK	 
REQUEST	5		Get Data	1682537130755	1682537130912	OK	 
REQUEST	12		Get Data	1682537130895	1682537131019	OK	 
REQUEST	3		Get Data	1682537130992	1682537131105	OK	 
USER	Get Data Scenario	15	START	1682537131144	1682537131144
REQUEST	10		Get Data	1682537131034	1682537131148	OK	 
REQUEST	8		Get Data	1682537131113	1682537131229	OK	 
REQUEST	1		Get Data	1682537131192	1682537131345	OK	 
REQUEST	6		Get Data	1682537131242	1682537131354	OK	 
REQUEST	15		Get Data	1682537131144	1682537131364	OK	 
REQUEST	13		Get Data	1682537131406	1682537131530	OK	 
REQUEST	4		Get Data	1682537131392	1682537131530	OK	 
REQUEST	11		Get Data	1682537131485	1682537131621	OK	 
USER	Get Data Scenario	16	START	1682537131638	1682537131638
REQUEST	2		Get Data	1682537131639	1682537131764	OK	 
REQUEST	9		Get Data	1682537131764	1682537131876	OK	 
REQUEST	16		Get Data	1682537131639	1682537131876	OK	 
REQUEST	7		Get Data	1682537131765	1682537131876	OK	 
REQUEST	14		Get Data	1682537131889	1682537131998	OK	 
REQUEST	5		Get Data	1682537131921	1682537132058	OK	 
REQUEST	12		Get Data	1682537132001	1682537132122	OK	 
USER	Get Data Scenario	17	START	1682537132137	1682537132137
REQUEST	3		Get Data	1682537132107	1682537132233	OK	 
REQUEST	10		Get Data	1682537132142	1682537132255	OK	 
REQUEST	8		Get Data	1682537132229	1682537132344	OK	 
REQUEST	17		Get Data	1682537132138	1682537132377	OK	 
REQUEST	6		Get Data	1682537132343	1682537132473	OK	 
REQUEST	15		Get Data	1682537132384	1682537132503	OK	 
REQUEST	1		Get Data	1682537132342	1682537132524	OK	 
USER	Get Data Scenario	18	START	1682537132649	1682537132649
REQUEST	4		Get Data	1682537132542	1682537132655	OK	 
REQUEST	13		Get Data	1682537132556	1682537132709	OK	 
REQUEST	11		Get Data	1682537132619	1682537132777	OK	 
REQUEST	18		Get Data	1682537132650	1682537132891	OK	 
REQUEST	2		Get Data	1682537132774	1682537132921	OK	 
REQUEST	16		Get Data	1682537132898	1682537133020	OK	 
REQUEST	7		Get Data	1682537132898	1682537133025	OK	 
REQUEST	9		Get Data	1682537132898	1682537133059	OK	 
REQUEST	14		Get Data	1682537132992	1682537133134	OK	 
USER	Get Data Scenario	19	START	1682537133145	1682537133145
REQUEST	5		Get Data	1682537133052	1682537133173	OK	 
REQUEST	12		Get Data	1682537133146	1682537133269	OK	 
REQUEST	3		Get Data	1682537133239	1682537133352	OK	 
REQUEST	10		Get Data	1682537133270	1682537133385	OK	 
REQUEST	19		Get Data	1682537133147	1682537133387	OK	 
REQUEST	8		Get Data	1682537133347	1682537133489	OK	 
REQUEST	17		Get Data	1682537133394	1682537133501	OK	 
REQUEST	6		Get Data	1682537133472	1682537133578	OK	 
USER	Get Data Scenario	20	START	1682537133631	1682537133631
REQUEST	1		Get Data	1682537133522	1682537133645	OK	 
REQUEST	15		Get Data	1682537133504	1682537133646	OK	 
REQUEST	4		Get Data	1682537133658	1682537133763	OK	 
REQUEST	13		Get Data	1682537133692	1682537133807	OK	 
REQUEST	20		Get Data	1682537133632	1682537133858	OK	 
REQUEST	11		Get Data	1682537133782	1682537133914	OK	 
REQUEST	18		Get Data	1682537133906	1682537134017	OK	 
REQUEST	2		Get Data	1682537133922	1682537134028	OK	 
REQUEST	16		Get Data	1682537134002	1682537134119	OK	 
REQUEST	7		Get Data	1682537134029	1682537134135	OK	 
REQUEST	9		Get Data	1682537134062	1682537134177	OK	 
REQUEST	14		Get Data	1682537134176	1682537134281	OK	 
REQUEST	5		Get Data	1682537134177	1682537134288	OK	 
REQUEST	12		Get Data	1682537134261	1682537134375	OK	 
REQUEST	3		Get Data	1682537134352	1682537134461	OK	 
REQUEST	10		Get Data	1682537134371	1682537134475	OK	 
REQUEST	19		Get Data	1682537134402	1682537134511	OK	 
REQUEST	8		Get Data	1682537134476	1682537134584	OK	 
REQUEST	17		Get Data	1682537134507	1682537134621	OK	 
REQUEST	6		Get Data	1682537134572	1682537134702	OK	 
REQUEST	1		Get Data	1682537134661	1682537134770	OK	 
REQUEST	15		Get Data	1682537134661	1682537134773	OK	 
REQUEST	4		Get Data	1682537134756	1682537134863	OK	 
REQUEST	13		Get Data	1682537134817	1682537134947	OK	 
REQUEST	20		Get Data	1682537134863	1682537134970	OK	 
REQUEST	11		Get Data	1682537134912	1682537135022	OK	 
REQUEST	2		Get Data	1682537135015	1682537135122	OK	 
REQUEST	18		Get Data	1682537135030	1682537135139	OK	 
REQUEST	7		Get Data	1682537135121	1682537135234	OK	 
REQUEST	16		Get Data	1682537135122	1682537135245	OK	 
REQUEST	9		Get Data	1682537135203	1682537135317	OK	 
