RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1687288884633	 	3.3.1
USER	Get Data Scenario	1	START	1687288886408	1687288886408
USER	Get Data Scenario	2	START	1687288886409	1687288886409
USER	Get Data Scenario	3	START	1687288886427	1687288886427
USER	Get Data Scenario	4	START	1687288886442	1687288886442
USER	Get Data Scenario	5	START	1687288886443	1687288886443
USER	Get Data Scenario	6	START	1687288886458	1687288886458
USER	Get Data Scenario	7	START	1687288886463	1687288886463
USER	Get Data Scenario	8	START	1687288886474	1687288886474
USER	Get Data Scenario	9	START	1687288886489	1687288886489
USER	Get Data Scenario	10	START	1687288886493	1687288886493
USER	Get Data Scenario	11	START	1687288886505	1687288886505
USER	Get Data Scenario	12	START	1687288886520	1687288886520
USER	Get Data Scenario	13	START	1687288886523	1687288886523
USER	Get Data Scenario	14	START	1687288886536	1687288886536
USER	Get Data Scenario	15	START	1687288886552	1687288886552
USER	Get Data Scenario	16	START	1687288886553	1687288886553
USER	Get Data Scenario	17	START	1687288886567	1687288886567
USER	Get Data Scenario	18	START	1687288886583	1687288886583
USER	Get Data Scenario	19	START	1687288886583	1687288886583
USER	Get Data Scenario	20	START	1687288886629	1687288886629
USER	Get Data Scenario	21	START	1687288886630	1687288886630
USER	Get Data Scenario	22	START	1687288886630	1687288886630
USER	Get Data Scenario	23	START	1687288886631	1687288886631
USER	Get Data Scenario	24	START	1687288886633	1687288886633
USER	Get Data Scenario	25	START	1687288886644	1687288886644
USER	Get Data Scenario	26	START	1687288886662	1687288886662
USER	Get Data Scenario	27	START	1687288886667	1687288886667
USER	Get Data Scenario	28	START	1687288886689	1687288886689
USER	Get Data Scenario	29	START	1687288886689	1687288886689
USER	Get Data Scenario	30	START	1687288886693	1687288886693
USER	Get Data Scenario	31	START	1687288886705	1687288886705
USER	Get Data Scenario	32	START	1687288886719	1687288886719
USER	Get Data Scenario	33	START	1687288886723	1687288886723
USER	Get Data Scenario	34	START	1687288886734	1687288886734
USER	Get Data Scenario	35	START	1687288886750	1687288886750
USER	Get Data Scenario	36	START	1687288886753	1687288886753
USER	Get Data Scenario	37	START	1687288886765	1687288886765
USER	Get Data Scenario	38	START	1687288886781	1687288886781
USER	Get Data Scenario	39	START	1687288886783	1687288886783
USER	Get Data Scenario	40	START	1687288886796	1687288886796
USER	Get Data Scenario	41	START	1687288886811	1687288886811
USER	Get Data Scenario	42	START	1687288886813	1687288886813
USER	Get Data Scenario	43	START	1687288886827	1687288886827
USER	Get Data Scenario	44	START	1687288886858	1687288886858
USER	Get Data Scenario	45	START	1687288886863	1687288886863
USER	Get Data Scenario	46	START	1687288886873	1687288886873
USER	Get Data Scenario	47	START	1687288886891	1687288886891
REQUEST	7		Get Data	1687288886464	1687288886882	OK	 
REQUEST	6		Get Data	1687288886460	1687288886853	OK	 
REQUEST	1		Get Data	1687288886451	1687288886853	OK	 
REQUEST	4		Get Data	1687288886455	1687288886844	OK	 
REQUEST	15		Get Data	1687288886554	1687288886861	OK	 
REQUEST	8		Get Data	1687288886475	1687288886845	OK	 
REQUEST	19		Get Data	1687288886585	1687288886882	OK	 
REQUEST	10		Get Data	1687288886494	1687288886887	OK	 
REQUEST	5		Get Data	1687288886456	1687288886879	OK	 
REQUEST	18		Get Data	1687288886584	1687288886817	OK	 
REQUEST	14		Get Data	1687288886537	1687288886808	OK	 
REQUEST	11		Get Data	1687288886506	1687288886889	OK	 
USER	Get Data Scenario	48	START	1687288886895	1687288886895
REQUEST	3		Get Data	1687288886454	1687288886901	OK	 
USER	Get Data Scenario	49	START	1687288886921	1687288886921
USER	Get Data Scenario	50	START	1687288886921	1687288886921
USER	Get Data Scenario	51	START	1687288886923	1687288886923
REQUEST	20		Get Data	1687288886631	1687288886930	OK	 
USER	Get Data Scenario	52	START	1687288886935	1687288886935
REQUEST	27		Get Data	1687288886669	1687288886936	OK	 
REQUEST	26		Get Data	1687288886663	1687288886936	OK	 
REQUEST	13		Get Data	1687288886524	1687288886945	OK	 
REQUEST	9		Get Data	1687288886491	1687288886945	OK	 
REQUEST	23		Get Data	1687288886635	1687288886946	OK	 
REQUEST	32		Get Data	1687288886721	1687288886946	OK	 
USER	Get Data Scenario	53	START	1687288886950	1687288886950
USER	Get Data Scenario	54	START	1687288886953	1687288886953
USER	Get Data Scenario	55	START	1687288886966	1687288886966
USER	Get Data Scenario	56	START	1687288886981	1687288886981
REQUEST	29		Get Data	1687288886690	1687288886982	OK	 
USER	Get Data Scenario	57	START	1687288886983	1687288886983
USER	Get Data Scenario	58	START	1687288886997	1687288886997
REQUEST	22		Get Data	1687288886634	1687288887003	OK	 
USER	Get Data Scenario	59	START	1687288887012	1687288887012
USER	Get Data Scenario	60	START	1687288887013	1687288887013
REQUEST	33		Get Data	1687288886724	1687288887015	OK	 
REQUEST	35		Get Data	1687288886751	1687288887021	OK	 
USER	Get Data Scenario	61	START	1687288887027	1687288887027
REQUEST	16		Get Data	1687288886555	1687288887042	OK	 
REQUEST	30		Get Data	1687288886694	1687288887042	OK	 
USER	Get Data Scenario	62	START	1687288887043	1687288887043
USER	Get Data Scenario	63	START	1687288887043	1687288887043
REQUEST	39		Get Data	1687288886784	1687288887046	OK	 
USER	Get Data Scenario	64	START	1687288887059	1687288887059
USER	Get Data Scenario	65	START	1687288887063	1687288887063
USER	Get Data Scenario	66	START	1687288887073	1687288887073
USER	Get Data Scenario	67	START	1687288887088	1687288887088
USER	Get Data Scenario	68	START	1687288887093	1687288887093
REQUEST	40		Get Data	1687288886797	1687288887094	OK	 
USER	Get Data Scenario	69	START	1687288887104	1687288887104
REQUEST	47		Get Data	1687288886895	1687288887107	OK	 
REQUEST	42		Get Data	1687288886814	1687288887112	OK	 
REQUEST	28		Get Data	1687288886691	1687288887115	OK	 
REQUEST	36		Get Data	1687288886754	1687288887120	OK	 
USER	Get Data Scenario	70	START	1687288887120	1687288887120
USER	Get Data Scenario	71	START	1687288887123	1687288887123
REQUEST	50		Get Data	1687288886923	1687288887135	OK	 
USER	Get Data Scenario	72	START	1687288887135	1687288887135
REQUEST	31		Get Data	1687288886706	1687288887143	OK	 
REQUEST	17		Get Data	1687288886570	1687288887143	OK	 
REQUEST	24		Get Data	1687288886637	1687288887144	OK	 
REQUEST	25		Get Data	1687288886645	1687288887144	OK	 
REQUEST	34		Get Data	1687288886736	1687288887144	OK	 
USER	Get Data Scenario	73	START	1687288887150	1687288887150
USER	Get Data Scenario	74	START	1687288887153	1687288887153
USER	Get Data Scenario	75	START	1687288887166	1687288887166
REQUEST	53		Get Data	1687288886951	1687288887172	OK	 
REQUEST	46		Get Data	1687288886879	1687288887180	OK	 
USER	Get Data Scenario	76	START	1687288887181	1687288887181
USER	Get Data Scenario	77	START	1687288887183	1687288887183
USER	Get Data Scenario	78	START	1687288887195	1687288887195
REQUEST	51		Get Data	1687288886926	1687288887202	OK	 
REQUEST	56		Get Data	1687288886982	1687288887207	OK	 
USER	Get Data Scenario	79	START	1687288887210	1687288887210
USER	Get Data Scenario	80	START	1687288887213	1687288887213
REQUEST	59		Get Data	1687288887014	1687288887220	OK	 
REQUEST	12		Get Data	1687288886521	1687288887220	OK	 
REQUEST	37		Get Data	1687288886767	1687288887221	OK	 
REQUEST	43		Get Data	1687288886828	1687288887222	OK	 
REQUEST	41		Get Data	1687288886813	1687288887222	OK	 
REQUEST	44		Get Data	1687288886859	1687288887222	OK	 
REQUEST	45		Get Data	1687288886865	1687288887222	OK	 
USER	Get Data Scenario	81	START	1687288887236	1687288887236
USER	Get Data Scenario	82	START	1687288887237	1687288887237
REQUEST	38		Get Data	1687288886782	1687288887244	OK	 
USER	Get Data Scenario	83	START	1687288887257	1687288887257
USER	Get Data Scenario	84	START	1687288887257	1687288887257
REQUEST	63		Get Data	1687288887045	1687288887258	OK	 
