RUN	simulations.GetTokenSimulation	gettokensimulation	1680017253427	Tokens para test en QA	3.3.1
USER	Get Token Scenario	1	START	1680017255278	1680017255278
REQUEST	1		GetToken	1680017255344	1680017255723	OK	 
USER	Get Token Scenario	1	END	1680017255278	1680017256744
USER	Get Token Scenario	2	START	1680017257284	1680017257284
REQUEST	2		GetToken	1680017257287	1680017257603	OK	 
USER	Get Token Scenario	2	END	1680017257284	1680017258621
USER	Get Token Scenario	3	START	1680017259274	1680017259274
REQUEST	3		GetToken	1680017259276	1680017259576	OK	 
USER	Get Token Scenario	3	END	1680017259274	1680017260595
USER	Get Token Scenario	4	START	1680017261282	1680017261282
REQUEST	4		GetToken	1680017261283	1680017261598	OK	 
USER	Get Token Scenario	4	END	1680017261282	1680017262620
USER	Get Token Scenario	5	START	1680017263272	1680017263272
REQUEST	5		GetToken	1680017263274	1680017263585	OK	 
USER	Get Token Scenario	5	END	1680017263272	1680017264609
