RUN	simulations.GetTokenSimulation	gettokensimulation	1690923026943	 	3.3.1
USER	Get Token Scenario	1	START	1690923028325	1690923028325
USER	Get Token Scenario	2	START	1690923028423	1690923028423
USER	Get Token Scenario	3	START	1690923028531	1690923028531
USER	Get Token Scenario	4	START	1690923028625	1690923028625
USER	Get Token Scenario	5	START	1690923028723	1690923028723
REQUEST	1		GetToken	1690923028362	1690923028676	OK	 
REQUEST	2		GetToken	1690923028424	1690923028739	OK	 
REQUEST	3		GetToken	1690923028532	1690923028764	OK	 
USER	Get Token Scenario	6	START	1690923028826	1690923028826
REQUEST	4		GetToken	1690923028626	1690923028878	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	START	1690923028923	1690923028923
REQUEST	5		GetToken	1690923028724	1690923028963	OK	 
USER	Get Token Scenario	8	START	1690923029027	1690923029027
USER	Get Token Scenario	9	START	1690923029123	1690923029123
REQUEST	6		GetToken	1690923028827	1690923029156	OK	 
REQUEST	7		GetToken	1690923028924	1690923029171	OK	 
USER	Get Token Scenario	10	START	1690923029230	1690923029230
REQUEST	8		GetToken	1690923029028	1690923029259	KO	jsonPath($.access_token).find.exists, found nothing
REQUEST	9		GetToken	1690923029124	1690923029360	OK	 
REQUEST	10		GetToken	1690923029230	1690923029552	OK	 
USER	Get Token Scenario	1	END	1690923028325	1690923029714
USER	Get Token Scenario	2	END	1690923028423	1690923029756
USER	Get Token Scenario	3	END	1690923028531	1690923029787
USER	Get Token Scenario	4	END	1690923028625	1690923029895
USER	Get Token Scenario	5	END	1690923028723	1690923029973
USER	Get Token Scenario	6	END	1690923028826	1690923030174
USER	Get Token Scenario	7	END	1690923028923	1690923030193
USER	Get Token Scenario	8	END	1690923029027	1690923030267
USER	Get Token Scenario	9	END	1690923029123	1690923030376
USER	Get Token Scenario	10	END	1690923029230	1690923030563
